"Sample","NIS","CC","Genome_size","fitted_prob","fitted_class"
"CA-24",1,"CC30",0.0826197132825315,0.999999999771611,1
"CA-25",1,"CC5",0.0232927089339784,0.903128305018476,1
"CA-26",1,"CC5",-0.0201354985399968,0.894428865130242,1
"CA-27",1,"CC97",0.32298490644759,0.9999999997893,1
"CA-28",1,"CC1",-0.0109614997838281,0.999999999763101,1
"CA-29",1,"CC97",0.269732710542642,0.999999999763072,1
"CA-3",1,"CC1",2.88384289598641,0.999999999999597,1
"CA-30",1,"CC121",0.367705678940282,0.989252271730171,1
"CA-31",1,"CC15",-0.199666106741938,0.999999999666929,1
"CA-32",1,"CC22",-0.139812684900102,0.999999999630331,1
"CA-33",1,"CC8",-0.0455073388500258,0.959106209001226,1
"CA-35",1,"CC15",-0.315070167065024,0.999999999570508,1
"CA-36",1,"CC15",0.28283877611483,0.999999999884952,1
"CA-38",1,"CC30",0.21623089883102,0.999999999829848,1
"CA-39",1,"CC15",0.357666674913461,0.999999999902437,1
"CA-40",1,"CC5",-0.0856213404155899,0.880010356257236,1
"CA-41",1,"CC15",0.28511744714209,0.999999999885528,1
"CA-42",1,"UD",0.144801235024235,0.99999999985283,1
"CA-43",1,"UD",0.360894380294808,0.999999999908576,1
"CA-45",1,"CC8",0.546719755423462,0.988567103787441,1
"CA-46",1,"CC121",0.0669927752073013,0.979361711873975,1
"CA-49",1,"CC121",0.120267214104923,0.981605218476287,1
"CA-5",1,"CC121",0.191652391926361,0.984239945895359,1
"CA-50",1,"CC1",0.157195524830859,0.999999999836442,1
"CA-52",1,"CC97",0.179861134365563,0.999999999711195,1
"CA-53",1,"CC121",-0.0772629180574642,0.971857893728405,1
"CA-54",1,"CC1",-0.186629241591402,0.999999999651148,1
"CA-55",1,"CC97",0.566103287816951,0.999999999876675,1
"CA-56",0,"CC8",0.357271243932592,0.982747358993043,1
"CA-57",1,"CC97",-0.313930831551394,0.999999999142839,1
"CA-59",1,"CC1",0.093691780746873,0.999999999811881,1
"CA-60",1,"CC1",-0.10820292086686,0.999999999706503,1
"CA-62",1,"CC97",0.0474757848577689,0.999999999613393,1
"CA-63",1,"CC1",0.0944035565124378,0.999999999812176,1
"CA-64",1,"CC97",0.346285676995316,0.999999999799843,1
"CA-66",1,"CC121",0.249560787631045,0.986101377593407,1
"CA-68",1,"CC121",0.415673928363363,0.99031969138819,1
"CA-7",1,"CC15",0.070470096395321,0.999999999816316,1
"CA-74",1,"CC8",-0.677366503181144,0.853581475683534,1
"CA-76",1,"CC121",-0.204579336679239,0.963082427076385,1
"CA-77",0,"CC121",-1.05150352573067,0.801482984926919,1
"CA-78",1,"CC8",-0.55393766539004,0.884412778476213,1
"CA-8",1,"CC121",-0.687123762634094,0.900101744793096,1
"CA-86",1,"CC5",6.20862164024856,0.999999870476403,1
"CA-87",0,"CC5",-0.611475344550159,0.697203626433048,1
"CA-88",1,"UD",-0.385768283557201,0.99999999952634,1
"CA-9",1,"CC97",-0.346464915502419,0.999999999079145,1
"CA-91",1,"CC22",0.212602819581544,0.999999999829932,1
"CA-92",1,"CC1",0.343784576041317,0.999999999891571,1
"CA-93",1,"CC22",-0.417106188791096,0.999999999319033,1
"CA-94",1,"CC8",-0.867793706349665,0.79305522077918,1
"CA-95",1,"UD",3.32392792037042,0.999999999999866,1
"CA-96",1,"CC15",-0.203333729089501,0.999999999664227,1
"Reference-1",1,"CC97",0.242905189934288,0.999999999748647,1
"Reference-2",1,"CC97",0.147013177073473,0.99999999968952,1
"Reference-3",1,"CC97",0.920911149732857,0.999999999943562,1
