"CC","BGC_type","odds_ratio","log2_or","log2_or_capped","p_value","q_value","star","bgc_order"
"CC1","Beta-lac",0,-5,-5,1,1,"",-5
"CC1","Cyc-lac-autoinducer",0.654873341009102,-0.610712192768326,-0.610712192768326,0.319877024187695,1,"",-0.0293348020522612
"CC1","Lanpeptide-ci",3.68816029251274,1.88290135863814,1.88290135863814,0.00108370583047322,0.0812779372854915,"",-1.38931180894029
"CC1","LAP",Inf,5,5,0.22234273318872,1,"",-5
"CC1","Lassopeptide",0,-5,-5,1,1,"",-5
"CC1","NI-siderophore",0.958965302617727,-0.0604494784415827,-0.0604494784415827,0.866697254794472,1,"",-0.0327844923461394
"CC1","NRPS",0.904320477220932,-0.145093962774924,-0.145093962774924,0.733348752347121,1,"",0.0311204283071584
"CC1","NRPS-like",0.581188493157568,-0.782921955283522,-0.782921955283522,1,1,"",-5
"CC1","Opine-like-metallophore",0.993146404026844,-0.00992168751179161,-0.00992168751179161,1,1,"",0.0115052957717226
"CC1","RiPP-like",0.710443241711446,-0.493208699708241,-0.493208699708241,0.564043826136633,1,"",-0.551928121401372
"CC1","RRE-containing",3.56623928035941,1.83440350526425,1.83440350526425,0.0310495442696916,0.665347377207678,"",-2.95607323098271
"CC1","T3PKS",0.982132200052772,-0.0260108630930941,-0.0260108630930941,1,1,"",0.0454889772516899
"CC1","T3PKS,TPS",0.970853859906738,-0.0426739480125067,-0.0426739480125067,1,1,"",-0.409926263976246
"CC1","TPS",0.875925101848062,-0.19112058101069,-0.19112058101069,0.689254601435574,1,"",-0.00629516784012776
"CC1","TPS, T3PKS",0.99929003219466,-0.00102463080244973,-0.00102463080244973,1,1,"",0.118823214323302
"CC121","Beta-lac",0,-5,-5,1,1,"",-5
"CC121","Cyc-lac-autoinducer",1.13502427566888,0.182723153914938,0.182723153914938,0.697111876077699,1,"",-0.0293348020522612
"CC121","Lanpeptide-ci",0,-5,-5,0.0150701603029393,0.376754007573482,"",-1.38931180894029
"CC121","LAP",0,-5,-5,1,1,"",-5
"CC121","Lassopeptide",0,-5,-5,1,1,"",-5
"CC121","NI-siderophore",1.00930583370045,0.0133633973457613,0.0133633973457613,1,1,"",-0.0327844923461394
"CC121","NRPS",0.936653176726851,-0.0944131482209554,-0.0944131482209554,0.893625332631931,1,"",0.0311204283071584
"CC121","NRPS-like",0,-5,-5,0.602009747788058,1,"",-5
"CC121","Opine-like-metallophore",1.02053556447692,0.0293264594901319,0.0293264594901319,0.891148801139178,1,"",0.0115052957717226
"CC121","RiPP-like",2.57075621588011,1.36219280627566,1.36219280627566,0.0112222123483841,0.336666370451523,"",-0.551928121401372
"CC121","RRE-containing",0.531393887493661,-0.912146461965419,-0.912146461965419,1,1,"",-2.95607323098271
"CC121","T3PKS",0.903223219221898,-0.146845520838328,-0.146845520838328,0.870357299004619,1,"",0.0454889772516899
"CC121","T3PKS,TPS",1.24500861494494,0.316155725181186,0.316155725181186,0.762302220879259,1,"",-0.409926263976246
"CC121","TPS",1.00651761121516,0.009372415568241,0.009372415568241,1,1,"",-0.00629516784012776
"CC121","TPS, T3PKS",1.17990528928484,0.238671059449053,0.238671059449053,0.736448593771231,1,"",0.118823214323302
"CC15","Beta-lac",0,-5,-5,1,1,"",-5
"CC15","Cyc-lac-autoinducer",1.32947515911778,0.410856821082454,0.410856821082454,0.486620823099534,1,"",-0.0293348020522612
